Date,Shift,Batch ID,Plating Type,Component Type,Machine ID,Bath Temperature (°C),pH Level,Plating Time (min),Thickness (μm),Adhesion Strength (MPa),Phosphorus Content (%),Surface Roughness (Ra μm),Visual Inspection,Corrosion Test,Operator ID,Pass/Fail
2025-01-05,Shift 2,ELP9633,Electroless Nickel,Heat Sink,Tank C,85.1,4.59,43.2,11.39,14.5,6.06,0.82,Blister,Pass,TECH332,Fail
2025-01-05,Shift 2,ELP7393,Electroless Nickel,PCB Panel,Tank A,92.9,4.88,84.6,12.78,24.7,11.57,0.81,Pitting,Fail,TECH932,Pass
2025-01-06,Shift 1,ELP1839,Electroless Copper,Connector Pins,Tank B,66.9,4.71,31.4,20.36,20.4,,0.65,Pitting,Pass,TECH305,Pass
2025-01-06,Shift 1,ELP4675,Electroless Nickel,Connector Pins,Tank C,92.6,5.36,42.6,21.7,21.5,11.04,0.86,Dull Finish,Fail,TECH619,Pass
2025-01-06,Shift 1,ELP1265,Electroless Copper,Valve Body,Tank C,66.1,4.53,43.7,18.67,14.5,,1.0,Pass,Pass,TECH562,Fail
2025-01-06,Shift 2,ELP9623,Electroless Copper,Heat Sink,Tank C,61.1,4.78,49.9,15.54,18.0,,0.21,Pitting,Pass,TECH356,Pass
2025-01-06,Shift 2,ELP8099,Electroless Copper,Gear Housing,Tank A,64.9,4.65,54.1,15.28,19.5,,0.56,Dull Finish,Pass,TECH496,Pass
2025-01-06,Shift 2,ELP6520,Electroless Copper,Valve Body,Tank A,69.5,5.39,84.0,15.11,18.4,,0.36,Blister,Pass,TECH765,Pass
2025-01-07,Shift 1,ELP7969,Electroless Copper,Heat Sink,Tank A,66.7,5.02,57.0,16.65,21.9,,0.25,Dull Finish,Fail,TECH738,Pass
2025-01-07,Shift 1,ELP5829,Electroless Copper,Valve Body,Tank B,71.3,5.48,36.3,20.9,11.5,,0.71,Pitting,Pass,TECH311,Fail
2025-01-07,Shift 1,ELP4637,Electroless Copper,Gear Housing,Tank B,72.0,5.04,42.4,21.04,10.2,,0.4,Pitting,Pass,TECH496,Fail
2025-01-07,Shift 2,ELP6782,Electroless Nickel,Connector Pins,Tank C,93.6,4.61,75.8,11.42,21.0,6.76,0.31,Pitting,Fail,TECH680,Fail
2025-01-07,Shift 2,ELP7057,Electroless Nickel,Valve Body,Tank C,88.6,4.96,56.4,23.85,17.8,8.51,0.41,Pitting,Pass,TECH924,Pass
2025-01-07,Shift 2,ELP3252,Electroless Copper,Heat Sink,Tank A,62.5,5.33,61.3,19.63,14.8,,0.74,Dull Finish,Pass,TECH455,Fail
2025-01-08,Shift 1,ELP5173,Electroless Nickel,Connector Pins,Tank B,91.3,4.97,86.9,14.57,15.3,6.53,0.65,Pass,Pass,TECH995,Pass
2025-01-08,Shift 1,ELP9420,Electroless Copper,PCB Panel,Tank A,67.9,4.63,49.6,16.59,23.4,,0.51,Dull Finish,Pass,TECH610,Pass
2025-01-08,Shift 1,ELP3506,Electroless Copper,Valve Body,Tank C,74.9,4.69,52.7,13.14,22.2,,0.57,Pitting,Fail,TECH157,Pass
2025-01-08,Shift 2,ELP5643,Electroless Copper,Gear Housing,Tank A,67.2,5.13,84.5,23.54,24.5,,0.51,Pass,Fail,TECH339,Pass
2025-01-08,Shift 2,ELP7600,Electroless Copper,Heat Sink,Tank A,62.7,4.69,44.2,20.96,19.7,,0.79,Pitting,Fail,TECH803,Pass
2025-01-08,Shift 2,ELP1797,Electroless Copper,Valve Body,Tank A,63.8,5.31,42.3,23.62,22.9,,0.34,Pass,Fail,TECH776,Pass
2025-01-09,Shift 1,ELP6586,Electroless Copper,Valve Body,Tank B,60.5,5.33,54.3,20.62,16.4,,0.95,Pitting,Pass,TECH252,Pass
2025-01-09,Shift 1,ELP1797,Electroless Copper,Valve Body,Tank A,63.8,5.31,42.3,23.62,22.9,,0.34,Pass,Fail,TECH776,Pass
2025-01-09,Shift 1,ELP4339,Electroless Nickel,Valve Body,Tank A,87.2,5.28,49.8,20.19,24.3,7.46,0.27,Blister,Pass,TECH961,Pass
2025-01-09,Shift 2,ELP5492,Electroless Copper,Valve Body,Tank A,63.5,4.63,58.3,17.75,13.2,,0.92,Pitting,Fail,TECH837,Fail
2025-01-09,Shift 2,ELP7123,Electroless Copper,Gear Housing,Tank B,72.6,5.18,44.6,16.3,12.7,,0.52,Dull Finish,Pass,TECH921,Fail
2025-01-09,Shift 2,ELP4211,Electroless Nickel,PCB Panel,Tank A,91.1,4.57,73.7,17.61,16.6,11.02,0.4,Blister,Fail,TECH492,Pass
2025-01-10,Shift 1,ELP2761,Electroless Copper,Gear Housing,Tank C,72.4,4.73,57.3,16.84,14.4,,0.96,Dull Finish,Pass,TECH574,Fail
2025-01-10,Shift 1,ELP2307,Electroless Nickel,Heat Sink,Tank A,86.6,4.72,81.3,20.54,24.7,6.01,0.53,Pitting,Pass,TECH402,Pass
2025-01-10,Shift 1,ELP5492,Electroless Copper,Valve Body,Tank A,63.5,4.63,58.3,17.75,13.2,,0.92,Pitting,Fail,TECH837,Fail
2025-01-10,Shift 2,ELP9633,Electroless Nickel,Heat Sink,Tank C,85.1,4.59,43.2,11.39,14.5,6.06,0.82,Blister,Pass,TECH332,Fail
2025-01-10,Shift 2,ELP3833,Electroless Copper,Valve Body,Tank B,72.7,5.13,50.8,17.18,18.7,,0.53,Dull Finish,Pass,TECH522,Pass
2025-01-10,Shift 2,ELP9417,Electroless Copper,Valve Body,Tank C,63.4,5.37,51.7,14.59,13.6,,0.47,Pass,Fail,TECH514,Fail
2025-01-11,Shift 1,ELP4540,Electroless Nickel,Heat Sink,Tank C,91.6,4.85,43.5,22.99,21.3,8.85,0.5,Blister,Pass,TECH725,Pass
2025-01-11,Shift 1,ELP1259,Electroless Nickel,Valve Body,Tank B,86.2,4.64,70.3,15.03,12.5,11.55,1.08,Pass,Pass,TECH454,Fail
2025-01-11,Shift 1,ELP9282,Electroless Copper,PCB Panel,Tank A,63.8,5.28,48.6,17.25,12.6,,0.49,Dull Finish,Pass,TECH287,Fail
2025-01-11,Shift 2,ELP7378,Electroless Nickel,Heat Sink,Tank A,90.3,5.3,62.0,17.9,18.8,7.14,0.37,Blister,Pass,TECH270,Pass
2025-01-11,Shift 2,ELP4540,Electroless Nickel,Heat Sink,Tank C,91.6,4.85,43.5,22.99,21.3,8.85,0.5,Blister,Pass,TECH725,Pass
2025-01-11,Shift 2,ELP3962,Electroless Nickel,Valve Body,Tank B,91.5,5.2,30.6,21.52,19.9,8.79,0.88,Blister,Pass,TECH707,Pass
2025-01-12,Shift 1,ELP9746,Electroless Nickel,Valve Body,Tank C,85.1,5.32,79.8,17.55,23.9,10.18,0.98,Pitting,Pass,TECH930,Pass
2025-01-12,Shift 1,ELP4904,Electroless Nickel,Gear Housing,Tank A,89.5,5.39,72.8,11.72,21.2,9.58,1.03,Blister,Fail,TECH951,Fail
2025-01-12,Shift 1,ELP5781,Electroless Copper,Gear Housing,Tank B,60.9,5.21,80.9,14.88,20.2,,0.41,Pass,Fail,TECH623,Pass
2025-01-12,Shift 2,ELP4854,Electroless Copper,Valve Body,Tank B,71.9,4.97,62.0,24.52,20.7,,1.08,Blister,Fail,TECH619,Pass
2025-01-12,Shift 2,ELP6699,Electroless Copper,Gear Housing,Tank B,70.9,5.0,30.0,16.02,18.8,,0.46,Pass,Pass,TECH930,Pass
2025-01-12,Shift 2,ELP3133,Electroless Nickel,PCB Panel,Tank C,85.8,4.52,54.0,20.44,18.0,7.42,0.32,Dull Finish,Pass,TECH902,Pass
2025-01-13,Shift 1,ELP2479,Electroless Nickel,PCB Panel,Tank C,88.7,5.02,32.2,10.08,10.9,11.13,1.04,Blister,Pass,TECH162,Fail
2025-01-13,Shift 1,ELP9888,Electroless Copper,PCB Panel,Tank B,72.5,5.0,32.8,18.5,10.3,,0.85,Dull Finish,Pass,TECH853,Fail
2025-01-13,Shift 1,ELP7568,Electroless Copper,PCB Panel,Tank A,70.7,4.51,83.4,11.23,22.5,,1.02,Blister,Pass,TECH119,Fail
2025-01-13,Shift 2,ELP6657,Electroless Copper,Heat Sink,Tank C,62.6,4.71,73.7,19.34,16.5,,0.21,Pass,Pass,TECH530,Pass
2025-01-13,Shift 2,ELP7887,Electroless Nickel,Connector Pins,Tank C,89.2,5.2,44.7,20.49,18.2,10.83,0.96,Pitting,Fail,TECH131,Pass
2025-01-13,Shift 2,ELP7887,Electroless Nickel,Connector Pins,Tank C,89.2,5.2,44.7,20.49,18.2,10.83,0.96,Pitting,Fail,TECH131,Pass
2025-01-14,Shift 1,ELP7756,Electroless Copper,Heat Sink,Tank A,62.2,5.2,49.5,22.8,21.6,,0.21,Pitting,Fail,TECH521,Pass
2025-01-14,Shift 1,ELP4689,Electroless Copper,Connector Pins,Tank B,64.0,5.24,88.9,10.55,15.8,,0.97,Pass,Fail,TECH383,Fail
2025-01-14,Shift 1,ELP3578,Electroless Copper,Gear Housing,Tank C,65.5,5.02,32.5,12.66,23.1,,0.45,Dull Finish,Pass,TECH996,Pass
2025-01-14,Shift 2,ELP2623,Electroless Copper,Gear Housing,Tank A,69.8,5.1,64.7,21.53,23.6,,0.35,Dull Finish,Fail,TECH568,Pass
2025-01-14,Shift 2,ELP1155,Electroless Nickel,Valve Body,Tank C,89.3,4.8,34.5,24.61,18.5,7.28,0.55,Dull Finish,Fail,TECH147,Pass
2025-01-14,Shift 2,ELP1839,Electroless Copper,Connector Pins,Tank B,66.9,4.71,31.4,20.36,20.4,,0.65,Pitting,Pass,TECH305,Pass
2025-01-15,Shift 1,ELP9666,Electroless Copper,Heat Sink,Tank B,62.0,5.32,37.0,20.5,15.5,,1.05,Pitting,Pass,TECH785,Pass
2025-01-15,Shift 1,ELP4541,Electroless Copper,PCB Panel,Tank A,71.3,4.99,67.0,10.45,22.1,,0.34,Dull Finish,Pass,TECH193,Fail
2025-01-15,Shift 1,ELP8750,Electroless Copper,Connector Pins,Tank B,64.2,5.0,37.4,16.99,19.9,,0.3,Dull Finish,Pass,TECH618,Pass
2025-01-15,Shift 2,ELP9255,Electroless Copper,Gear Housing,Tank A,60.4,4.65,58.1,15.27,12.4,,1.08,Blister,Fail,TECH481,Fail
2025-01-15,Shift 2,ELP2556,Electroless Nickel,PCB Panel,Tank A,88.9,5.03,44.3,23.61,23.2,7.18,0.35,Pitting,Fail,TECH550,Pass
2025-01-15,Shift 2,ELP1481,Electroless Nickel,Connector Pins,Tank A,87.7,4.5,30.0,10.79,11.4,8.21,0.56,Pass,Fail,TECH537,Fail
2025-01-16,Shift 1,ELP4103,Electroless Nickel,Valve Body,Tank C,92.6,4.94,72.8,22.42,24.9,7.43,1.13,Pass,Fail,TECH119,Pass
2025-01-16,Shift 1,ELP1259,Electroless Nickel,Valve Body,Tank B,86.2,4.64,70.3,15.03,12.5,11.55,1.08,Pass,Pass,TECH454,Fail
2025-01-16,Shift 1,ELP6351,Electroless Copper,Connector Pins,Tank A,69.2,4.83,68.2,11.85,16.0,,0.72,Pass,Pass,TECH344,Fail
2025-01-16,Shift 2,ELP5570,Electroless Copper,Gear Housing,Tank C,65.3,5.47,47.4,10.82,14.7,,0.76,Pitting,Pass,TECH905,Fail
2025-01-16,Shift 2,ELP2257,Electroless Copper,Valve Body,Tank B,71.7,4.88,32.2,18.24,15.0,,1.15,Blister,Fail,TECH697,Pass
2025-01-16,Shift 2,ELP7726,Electroless Nickel,Heat Sink,Tank C,92.6,4.97,64.4,13.63,15.8,8.69,0.34,Pass,Fail,TECH568,Pass
2025-01-17,Shift 1,ELP7969,Electroless Copper,Heat Sink,Tank A,66.7,5.02,57.0,16.65,21.9,,0.25,Dull Finish,Fail,TECH738,Pass
2025-01-17,Shift 1,ELP6782,Electroless Nickel,Connector Pins,Tank C,93.6,4.61,75.8,11.42,21.0,6.76,0.31,Pitting,Fail,TECH680,Fail
2025-01-17,Shift 1,ELP4216,Electroless Copper,Connector Pins,Tank B,68.9,4.92,44.7,17.65,11.4,,0.58,Pass,Pass,TECH809,Fail
2025-01-17,Shift 2,ELP1771,Electroless Copper,Valve Body,Tank B,64.3,4.96,41.0,22.48,22.2,,0.23,Dull Finish,Pass,TECH193,Pass
2025-01-17,Shift 2,ELP8099,Electroless Copper,Gear Housing,Tank A,64.9,4.65,54.1,15.28,19.5,,0.56,Dull Finish,Pass,TECH496,Pass
2025-01-17,Shift 2,ELP1941,Electroless Nickel,Heat Sink,Tank C,91.9,4.97,40.2,18.29,11.7,11.68,0.54,Pass,Pass,TECH717,Fail
2025-01-18,Shift 1,ELP1909,Electroless Nickel,Gear Housing,Tank B,91.7,5.05,69.0,20.96,14.3,6.21,1.11,Pass,Pass,TECH580,Fail
2025-01-18,Shift 1,ELP3233,Electroless Copper,Connector Pins,Tank B,62.6,5.07,79.9,13.61,20.1,,0.24,Pass,Fail,TECH874,Pass
2025-01-18,Shift 1,ELP5643,Electroless Copper,Gear Housing,Tank A,67.2,5.13,84.5,23.54,24.5,,0.51,Pass,Fail,TECH339,Pass
2025-01-18,Shift 2,ELP9633,Electroless Nickel,Heat Sink,Tank C,85.1,4.59,43.2,11.39,14.5,6.06,0.82,Blister,Pass,TECH332,Fail
2025-01-18,Shift 2,ELP5803,Electroless Copper,Valve Body,Tank B,72.6,5.47,73.0,19.23,11.3,,0.94,Blister,Fail,TECH692,Fail
2025-01-18,Shift 2,ELP4203,Electroless Nickel,Valve Body,Tank A,88.7,5.1,35.7,12.89,10.2,7.33,0.83,Blister,Fail,TECH835,Fail
2025-01-19,Shift 1,ELP2257,Electroless Copper,Valve Body,Tank B,71.7,4.88,32.2,18.24,15.0,,1.15,Blister,Fail,TECH697,Pass
2025-01-19,Shift 1,ELP2623,Electroless Copper,Gear Housing,Tank A,69.8,5.1,64.7,21.53,23.6,,0.35,Dull Finish,Fail,TECH568,Pass
2025-01-19,Shift 1,ELP4103,Electroless Nickel,Valve Body,Tank C,92.6,4.94,72.8,22.42,24.9,7.43,1.13,Pass,Fail,TECH119,Pass
2025-01-19,Shift 2,ELP1013,Electroless Copper,Gear Housing,Tank B,63.3,4.78,37.2,10.67,10.4,,0.85,Dull Finish,Fail,TECH699,Fail
2025-01-19,Shift 2,ELP4540,Electroless Nickel,Heat Sink,Tank C,91.6,4.85,43.5,22.99,21.3,8.85,0.5,Blister,Pass,TECH725,Pass
2025-01-19,Shift 2,ELP9158,Electroless Copper,Gear Housing,Tank C,68.2,5.24,81.4,17.31,19.5,,1.15,Dull Finish,Pass,TECH845,Pass
2025-01-20,Shift 1,ELP3817,Electroless Nickel,PCB Panel,Tank B,85.3,4.59,40.2,14.53,17.5,6.2,1.1,Pass,Fail,TECH518,Pass
2025-01-20,Shift 1,ELP3117,Electroless Copper,Heat Sink,Tank A,64.9,5.41,75.2,18.47,11.1,,0.38,Pitting,Fail,TECH299,Fail
2025-01-20,Shift 1,ELP4854,Electroless Copper,Valve Body,Tank B,71.9,4.97,62.0,24.52,20.7,,1.08,Blister,Fail,TECH619,Pass
2025-01-20,Shift 2,ELP8346,Electroless Copper,Valve Body,Tank A,60.2,5.07,67.0,11.15,12.5,,0.58,Blister,Pass,TECH324,Fail
2025-01-20,Shift 2,ELP8016,Electroless Copper,PCB Panel,Tank B,68.5,4.71,55.1,10.86,21.9,,0.81,Pass,Fail,TECH541,Fail
2025-01-20,Shift 2,ELP2833,Electroless Copper,Valve Body,Tank B,62.3,5.49,57.6,11.99,11.7,,0.87,Pass,Fail,TECH817,Fail
2025-01-21,Shift 1,ELP7279,Electroless Nickel,Connector Pins,Tank C,89.6,5.19,32.5,15.53,14.9,9.24,0.85,Dull Finish,Fail,TECH253,Fail
2025-01-21,Shift 1,ELP9434,Electroless Copper,Heat Sink,Tank C,68.6,4.81,73.1,18.66,17.2,,0.59,Pass,Fail,TECH208,Pass
2025-01-21,Shift 1,ELP4854,Electroless Copper,Valve Body,Tank B,71.9,4.97,62.0,24.52,20.7,,1.08,Blister,Fail,TECH619,Pass
2025-01-21,Shift 2,ELP1155,Electroless Nickel,Valve Body,Tank C,89.3,4.8,34.5,24.61,18.5,7.28,0.55,Dull Finish,Fail,TECH147,Pass
2025-01-21,Shift 2,ELP7573,Electroless Copper,Heat Sink,Tank B,63.4,4.99,88.5,21.06,23.1,,0.87,Pitting,Pass,TECH504,Pass
2025-01-21,Shift 2,ELP4675,Electroless Nickel,Connector Pins,Tank C,92.6,5.36,42.6,21.7,21.5,11.04,0.86,Dull Finish,Fail,TECH619,Pass
2025-01-22,Shift 1,ELP4689,Electroless Copper,Connector Pins,Tank B,64.0,5.24,88.9,10.55,15.8,,0.97,Pass,Fail,TECH383,Fail
2025-01-22,Shift 1,ELP4339,Electroless Nickel,Valve Body,Tank A,87.2,5.28,49.8,20.19,24.3,7.46,0.27,Blister,Pass,TECH961,Pass
2025-01-22,Shift 1,ELP4006,Electroless Copper,Valve Body,Tank A,74.1,4.77,53.2,13.39,19.0,,1.06,Blister,Pass,TECH464,Pass
2025-01-22,Shift 2,ELP4299,Electroless Nickel,Valve Body,Tank A,92.1,5.28,59.9,21.45,17.7,10.25,1.0,Blister,Pass,TECH320,Pass
2025-01-22,Shift 2,ELP1680,Electroless Nickel,Heat Sink,Tank B,88.8,5.14,49.5,21.23,15.6,6.05,0.61,Pass,Pass,TECH457,Pass
2025-01-22,Shift 2,ELP3460,Electroless Copper,PCB Panel,Tank B,63.9,4.62,88.8,14.8,14.5,,0.52,Dull Finish,Pass,TECH480,Fail
2025-01-23,Shift 1,ELP5643,Electroless Copper,Gear Housing,Tank A,67.2,5.13,84.5,23.54,24.5,,0.51,Pass,Fail,TECH339,Pass
2025-01-23,Shift 1,ELP6346,Electroless Nickel,Valve Body,Tank A,89.0,5.21,74.5,21.18,15.1,11.75,0.45,Pass,Fail,TECH366,Pass
2025-01-23,Shift 1,ELP3074,Electroless Nickel,Valve Body,Tank C,91.7,4.51,44.4,10.75,18.7,6.47,0.99,Pitting,Pass,TECH275,Fail
2025-01-23,Shift 2,ELP1338,Electroless Nickel,Heat Sink,Tank B,86.9,4.75,31.9,13.9,14.8,10.04,0.59,Dull Finish,Fail,TECH995,Fail
2025-01-23,Shift 2,ELP1338,Electroless Nickel,Heat Sink,Tank B,86.9,4.75,31.9,13.9,14.8,10.04,0.59,Dull Finish,Fail,TECH995,Fail
2025-01-23,Shift 2,ELP8922,Electroless Copper,PCB Panel,Tank C,74.7,5.39,87.5,15.4,18.9,,0.97,Blister,Fail,TECH267,Pass
2025-01-24,Shift 1,ELP4216,Electroless Copper,Connector Pins,Tank B,68.9,4.92,44.7,17.65,11.4,,0.58,Pass,Pass,TECH809,Fail
2025-01-24,Shift 1,ELP6269,Electroless Nickel,Gear Housing,Tank A,94.3,4.56,84.9,24.58,17.0,11.86,0.47,Dull Finish,Fail,TECH469,Pass
2025-01-24,Shift 1,ELP8099,Electroless Copper,Gear Housing,Tank A,64.9,4.65,54.1,15.28,19.5,,0.56,Dull Finish,Pass,TECH496,Pass
2025-01-24,Shift 2,ELP8685,Electroless Nickel,Connector Pins,Tank B,92.7,5.04,89.8,24.35,11.5,8.92,0.42,Blister,Fail,TECH489,Fail
2025-01-24,Shift 2,ELP7378,Electroless Nickel,Heat Sink,Tank A,90.3,5.3,62.0,17.9,18.8,7.14,0.37,Blister,Pass,TECH270,Pass
2025-01-24,Shift 2,ELP8172,Electroless Nickel,Valve Body,Tank A,91.5,4.61,46.6,24.55,20.2,6.97,1.19,Pass,Fail,TECH157,Pass
2025-01-25,Shift 1,ELP2144,Electroless Nickel,Heat Sink,Tank C,90.9,4.83,69.7,18.51,24.6,10.93,0.74,Pass,Pass,TECH752,Pass
2025-01-25,Shift 1,ELP8738,Electroless Copper,Heat Sink,Tank B,66.0,4.78,70.1,21.29,12.4,,1.06,Blister,Fail,TECH779,Fail
2025-01-25,Shift 1,ELP4216,Electroless Copper,Connector Pins,Tank B,68.9,4.92,44.7,17.65,11.4,,0.58,Pass,Pass,TECH809,Fail
2025-01-25,Shift 2,ELP4299,Electroless Nickel,Valve Body,Tank A,92.1,5.28,59.9,21.45,17.7,10.25,1.0,Blister,Pass,TECH320,Pass
2025-01-25,Shift 2,ELP1155,Electroless Nickel,Valve Body,Tank C,89.3,4.8,34.5,24.61,18.5,7.28,0.55,Dull Finish,Fail,TECH147,Pass
2025-01-25,Shift 2,ELP4742,Electroless Nickel,Gear Housing,Tank C,87.8,5.23,59.9,18.38,24.4,9.82,0.98,Blister,Fail,TECH330,Pass
2025-01-26,Shift 1,ELP6350,Electroless Copper,PCB Panel,Tank C,74.1,5.13,60.4,14.06,14.9,,0.43,Pitting,Fail,TECH774,Fail
2025-01-26,Shift 1,ELP3937,Electroless Nickel,Heat Sink,Tank B,89.3,4.79,57.6,13.62,11.1,6.17,0.96,Pitting,Pass,TECH898,Fail
2025-01-26,Shift 1,ELP8922,Electroless Copper,PCB Panel,Tank C,74.7,5.39,87.5,15.4,18.9,,0.97,Blister,Fail,TECH267,Pass
2025-01-26,Shift 2,ELP5492,Electroless Copper,Valve Body,Tank A,63.5,4.63,58.3,17.75,13.2,,0.92,Pitting,Fail,TECH837,Fail
2025-01-26,Shift 2,ELP1013,Electroless Copper,Gear Housing,Tank B,63.3,4.78,37.2,10.67,10.4,,0.85,Dull Finish,Fail,TECH699,Fail
2025-01-26,Shift 2,ELP9325,Electroless Nickel,PCB Panel,Tank B,93.0,4.87,47.9,14.19,11.6,7.36,0.54,Blister,Fail,TECH575,Fail
2025-01-27,Shift 1,ELP5726,Electroless Nickel,PCB Panel,Tank A,89.4,4.96,81.2,22.08,21.8,10.6,0.59,Pass,Fail,TECH304,Pass
2025-01-27,Shift 1,ELP6269,Electroless Nickel,Gear Housing,Tank A,94.3,4.56,84.9,24.58,17.0,11.86,0.47,Dull Finish,Fail,TECH469,Pass
2025-01-27,Shift 1,ELP5423,Electroless Nickel,Valve Body,Tank C,87.1,5.2,69.0,13.5,18.5,6.2,0.29,Pitting,Pass,TECH604,Pass
2025-01-27,Shift 2,ELP8938,Electroless Copper,Heat Sink,Tank B,71.9,5.5,47.6,23.91,24.0,,0.23,Dull Finish,Fail,TECH663,Pass
2025-01-27,Shift 2,ELP8685,Electroless Nickel,Connector Pins,Tank B,92.7,5.04,89.8,24.35,11.5,8.92,0.42,Blister,Fail,TECH489,Fail
2025-01-27,Shift 2,ELP7282,Electroless Copper,PCB Panel,Tank B,63.6,4.59,35.8,12.27,20.5,,0.32,Pitting,Fail,TECH908,Pass
2025-01-28,Shift 1,ELP5829,Electroless Copper,Valve Body,Tank B,71.3,5.48,36.3,20.9,11.5,,0.71,Pitting,Pass,TECH311,Fail
2025-01-28,Shift 1,ELP9097,Electroless Copper,Connector Pins,Tank C,63.8,5.5,65.5,12.89,15.0,,0.39,Pass,Fail,TECH505,Pass
