Date,Shift,Panel Serial No.,Panel Type,Assembly Line,Cycle Time (s),Number of Cells,Cell Alignment Deviation (mm),Glass Thickness (mm),Junction Box Attached,Power Output (W),Efficiency (%),Insulation Resistance (MΩ),Flash Test Result,Visual Inspection,Operator ID,Final Inspection
2025-04-11,Shift 1,SP205393,Monocrystalline,Line 3,1147.5,72,0.4,3.3,Yes,362.4,16.42,438.7,Fail,Scratch,EMP478,Pass
2025-04-11,Shift 1,SP233934,Monocrystalline,Line 3,1123.4,72,0.31,3.6,Yes,268.5,20.7,385.9,Fail,Crack,EMP450,Pass
2025-04-11,Shift 1,SP919930,Thin-Film,Line 1,704.6,60,0.18,3.1,No,379.9,17.74,811.5,Fail,Pass,EMP727,Pass
2025-04-11,Shift 2,SP825349,Monocrystalline,Line 2,640.7,60,0.08,3.2,Yes,312.0,15.36,745.4,Fail,Scratch,EMP429,Fail
2025-04-11,Shift 2,SP570157,Monocrystalline,Line 3,861.8,72,0.36,3.8,Yes,333.6,16.24,171.4,Fail,Scratch,EMP304,Fail
2025-04-11,Shift 2,SP644839,Polycrystalline,Line 2,848.7,72,0.44,3.3,Yes,252.9,17.3,422.1,Pass,Scratch,EMP875,Pass
2025-04-12,Shift 1,SP251634,Monocrystalline,Line 1,679.0,72,0.05,3.4,No,304.8,18.39,272.1,Pass,Scratch,EMP765,Pass
2025-04-12,Shift 1,SP375187,Thin-Film,Line 1,1191.0,60,0.23,3.7,Yes,316.8,17.28,641.4,Pass,Pass,EMP264,Pass
2025-04-12,Shift 1,SP813171,Thin-Film,Line 3,1064.7,60,0.26,3.1,Yes,371.1,17.38,730.9,Fail,Crack,EMP367,Pass
2025-04-12,Shift 2,SP559641,Thin-Film,Line 3,1078.1,60,0.06,3.3,Yes,281.7,19.04,553.0,Fail,Pass,EMP372,Pass
2025-04-12,Shift 2,SP190669,Monocrystalline,Line 1,891.6,72,0.02,3.3,No,370.4,17.0,833.7,Fail,Misalignment,EMP589,Pass
2025-04-12,Shift 2,SP241395,Polycrystalline,Line 1,1088.1,60,0.44,3.8,No,280.0,18.43,933.8,Pass,Crack,EMP425,Pass
2025-04-13,Shift 1,SP646830,Monocrystalline,Line 1,1120.7,72,0.43,3.5,No,297.4,20.96,596.4,Pass,Crack,EMP233,Pass
2025-04-13,Shift 1,SP768204,Monocrystalline,Line 3,819.1,60,0.13,3.9,No,343.3,18.37,205.7,Pass,Crack,EMP679,Pass
2025-04-13,Shift 1,SP874919,Monocrystalline,Line 2,861.9,60,0.3,3.2,No,342.5,17.37,554.5,Fail,Crack,EMP811,Pass
2025-04-13,Shift 2,SP938548,Polycrystalline,Line 3,852.0,60,0.05,3.7,No,320.2,20.68,858.3,Fail,Pass,EMP710,Pass
2025-04-13,Shift 2,SP778908,Monocrystalline,Line 1,915.6,60,0.02,4.0,Yes,318.1,18.15,481.5,Pass,Scratch,EMP428,Pass
2025-04-13,Shift 2,SP632184,Thin-Film,Line 1,702.5,72,0.01,3.3,Yes,373.1,17.71,819.1,Pass,Misalignment,EMP671,Pass
2025-04-14,Shift 1,SP738698,Monocrystalline,Line 1,1000.9,72,0.36,3.3,Yes,382.1,20.55,826.8,Pass,Crack,EMP613,Pass
2025-04-14,Shift 1,SP998336,Polycrystalline,Line 2,1056.0,60,0.17,3.2,Yes,284.2,17.99,321.6,Pass,Pass,EMP826,Pass
2025-04-14,Shift 1,SP235110,Thin-Film,Line 2,788.1,72,0.36,3.5,Yes,343.0,17.64,933.9,Pass,Pass,EMP524,Pass
2025-04-14,Shift 2,SP434987,Polycrystalline,Line 2,1126.9,60,0.04,3.9,No,252.2,17.97,564.9,Pass,Misalignment,EMP549,Pass
2025-04-14,Shift 2,SP629728,Polycrystalline,Line 3,1016.1,60,0.47,3.5,No,382.6,20.61,441.6,Pass,Scratch,EMP297,Pass
2025-04-14,Shift 2,SP953157,Thin-Film,Line 3,904.3,72,0.04,3.3,No,339.4,21.3,860.8,Fail,Crack,EMP744,Pass
2025-04-15,Shift 1,SP169603,Monocrystalline,Line 2,779.9,60,0.15,3.8,Yes,257.1,21.87,316.5,Pass,Crack,EMP128,Pass
2025-04-15,Shift 1,SP265587,Monocrystalline,Line 1,731.7,72,0.21,3.3,Yes,260.7,16.09,864.3,Pass,Pass,EMP734,Pass
2025-04-15,Shift 1,SP401402,Monocrystalline,Line 2,771.1,72,0.26,3.7,Yes,345.1,21.01,428.4,Pass,Pass,EMP270,Pass
2025-04-15,Shift 2,SP370677,Polycrystalline,Line 2,791.0,60,0.12,3.4,Yes,354.6,16.17,666.5,Pass,Scratch,EMP747,Pass
2025-04-15,Shift 2,SP331047,Polycrystalline,Line 3,1128.2,72,0.13,3.4,No,388.2,18.68,792.7,Pass,Crack,EMP141,Pass
2025-04-15,Shift 2,SP823365,Monocrystalline,Line 3,868.4,72,0.27,3.4,Yes,387.1,20.98,334.0,Pass,Pass,EMP939,Pass
2025-04-16,Shift 1,SP548903,Thin-Film,Line 1,1049.0,60,0.0,3.7,No,394.5,18.72,432.4,Pass,Crack,EMP228,Pass
2025-04-16,Shift 1,SP932594,Monocrystalline,Line 2,1163.9,72,0.12,3.7,Yes,315.2,21.89,797.8,Pass,Misalignment,EMP616,Pass
2025-04-16,Shift 1,SP405169,Thin-Film,Line 3,618.0,72,0.04,3.9,No,363.2,15.75,839.6,Pass,Misalignment,EMP652,Fail
2025-04-16,Shift 2,SP566205,Polycrystalline,Line 3,1127.3,72,0.46,4.0,No,326.6,20.31,941.8,Pass,Misalignment,EMP555,Pass
2025-04-16,Shift 2,SP846175,Thin-Film,Line 1,1170.7,72,0.43,3.5,No,318.2,15.57,484.4,Fail,Misalignment,EMP284,Fail
2025-04-16,Shift 2,SP165730,Thin-Film,Line 1,897.0,72,0.29,4.0,No,354.9,20.27,128.0,Pass,Misalignment,EMP745,Fail
2025-04-17,Shift 1,SP200098,Polycrystalline,Line 3,870.2,60,0.41,3.6,Yes,388.7,17.47,587.3,Fail,Crack,EMP780,Pass
2025-04-17,Shift 1,SP833264,Thin-Film,Line 2,1145.5,60,0.37,3.7,Yes,335.5,21.31,880.0,Fail,Misalignment,EMP710,Pass
2025-04-17,Shift 1,SP890542,Thin-Film,Line 3,757.3,60,0.31,3.5,No,254.2,20.18,627.2,Pass,Scratch,EMP799,Pass
2025-04-17,Shift 2,SP945553,Polycrystalline,Line 1,1160.5,60,0.33,3.3,Yes,267.7,19.02,545.5,Fail,Pass,EMP704,Pass
2025-04-17,Shift 2,SP725540,Polycrystalline,Line 1,760.8,72,0.14,3.3,Yes,350.4,20.3,619.7,Pass,Scratch,EMP384,Pass
2025-04-17,Shift 2,SP690660,Thin-Film,Line 2,880.5,60,0.19,3.4,No,312.3,17.66,283.4,Pass,Crack,EMP626,Pass
2025-04-18,Shift 1,SP578083,Thin-Film,Line 3,773.1,60,0.27,3.4,No,270.6,15.43,634.9,Pass,Misalignment,EMP916,Fail
2025-04-18,Shift 1,SP938236,Polycrystalline,Line 3,1166.5,60,0.17,3.3,No,330.9,21.59,224.2,Fail,Misalignment,EMP505,Pass
2025-04-18,Shift 1,SP479302,Monocrystalline,Line 1,1056.9,60,0.41,3.9,No,256.1,15.78,583.4,Fail,Pass,EMP546,Fail
2025-04-18,Shift 2,SP216010,Polycrystalline,Line 2,976.2,72,0.44,3.9,No,344.6,19.69,460.2,Fail,Scratch,EMP260,Pass
2025-04-18,Shift 2,SP703515,Monocrystalline,Line 2,873.6,60,0.4,3.8,Yes,311.8,21.19,292.0,Fail,Crack,EMP485,Pass
2025-04-18,Shift 2,SP827003,Polycrystalline,Line 3,802.1,72,0.37,3.5,No,374.0,16.03,263.0,Pass,Misalignment,EMP820,Pass
2025-04-19,Shift 1,SP860441,Thin-Film,Line 1,712.1,72,0.28,3.1,Yes,360.8,18.4,970.8,Pass,Pass,EMP240,Pass
2025-04-19,Shift 1,SP755983,Monocrystalline,Line 3,815.5,72,0.35,3.0,No,263.3,19.56,239.1,Fail,Scratch,EMP247,Pass
2025-04-19,Shift 1,SP695161,Thin-Film,Line 3,686.9,72,0.25,3.5,Yes,277.3,20.74,151.5,Pass,Crack,EMP350,Fail
2025-04-19,Shift 2,SP488423,Monocrystalline,Line 3,1038.5,60,0.1,3.0,No,361.9,19.58,188.6,Pass,Crack,EMP977,Fail
2025-04-19,Shift 2,SP488908,Polycrystalline,Line 1,1171.9,72,0.01,3.0,Yes,287.9,16.49,801.4,Fail,Pass,EMP562,Pass
2025-04-19,Shift 2,SP303535,Monocrystalline,Line 1,1007.6,60,0.18,3.2,No,322.3,21.75,366.0,Pass,Scratch,EMP872,Pass
2025-04-20,Shift 1,SP833659,Polycrystalline,Line 2,731.4,60,0.42,3.0,No,340.8,21.65,606.2,Fail,Crack,EMP767,Pass
2025-04-20,Shift 1,SP420365,Thin-Film,Line 1,609.9,60,0.07,3.1,Yes,382.7,19.49,407.7,Pass,Misalignment,EMP723,Pass
2025-04-20,Shift 1,SP382441,Thin-Film,Line 2,728.3,72,0.49,3.2,No,259.5,17.93,577.4,Pass,Pass,EMP885,Pass
2025-04-20,Shift 2,SP211268,Polycrystalline,Line 2,721.1,60,0.02,3.7,Yes,259.0,20.87,677.1,Pass,Crack,EMP276,Pass
2025-04-20,Shift 2,SP343201,Monocrystalline,Line 1,935.8,72,0.21,3.7,Yes,324.1,16.02,510.1,Fail,Crack,EMP365,Pass
2025-04-20,Shift 2,SP931664,Monocrystalline,Line 1,1044.9,72,0.27,3.5,Yes,333.3,15.51,423.7,Fail,Pass,EMP363,Fail
2025-04-21,Shift 1,SP815328,Thin-Film,Line 2,740.2,72,0.41,3.8,Yes,282.9,21.11,106.0,Fail,Scratch,EMP336,Fail
2025-04-21,Shift 1,SP819428,Polycrystalline,Line 1,1005.9,72,0.17,3.9,No,358.3,18.03,604.6,Fail,Crack,EMP360,Pass
2025-04-21,Shift 1,SP189665,Monocrystalline,Line 1,1140.9,72,0.34,4.0,No,314.8,16.6,825.9,Fail,Crack,EMP495,Pass
2025-04-21,Shift 2,SP159583,Polycrystalline,Line 2,971.3,60,0.34,3.9,Yes,362.8,21.14,248.5,Pass,Scratch,EMP517,Pass
2025-04-21,Shift 2,SP497173,Thin-Film,Line 3,1132.5,72,0.01,3.7,No,287.9,17.83,545.1,Pass,Crack,EMP243,Pass
2025-04-21,Shift 2,SP439675,Monocrystalline,Line 2,970.8,60,0.28,3.4,Yes,312.4,17.84,370.6,Pass,Crack,EMP576,Pass
2025-04-22,Shift 1,SP461787,Polycrystalline,Line 3,942.2,60,0.02,3.8,Yes,360.5,15.89,223.1,Pass,Misalignment,EMP742,Fail
2025-04-22,Shift 1,SP560884,Monocrystalline,Line 2,1188.9,72,0.22,3.2,Yes,375.1,19.49,434.6,Pass,Crack,EMP803,Pass
2025-04-22,Shift 1,SP790431,Thin-Film,Line 1,699.9,72,0.42,3.9,No,376.9,21.54,151.1,Fail,Pass,EMP217,Fail
2025-04-22,Shift 2,SP987597,Monocrystalline,Line 2,1069.1,72,0.29,3.7,Yes,295.8,17.78,540.8,Fail,Crack,EMP434,Pass
2025-04-22,Shift 2,SP817934,Polycrystalline,Line 1,737.2,60,0.41,3.3,No,350.6,20.07,443.7,Fail,Scratch,EMP778,Pass
2025-04-22,Shift 2,SP118137,Monocrystalline,Line 3,1060.9,72,0.2,3.4,Yes,258.0,15.43,696.7,Pass,Misalignment,EMP515,Fail
2025-04-23,Shift 1,SP344243,Monocrystalline,Line 3,749.4,72,0.17,3.0,No,298.2,17.03,177.6,Pass,Crack,EMP815,Fail
2025-04-23,Shift 1,SP734046,Thin-Film,Line 1,852.7,60,0.21,3.1,Yes,260.8,18.89,661.0,Pass,Misalignment,EMP869,Pass
2025-04-23,Shift 1,SP644756,Polycrystalline,Line 3,850.6,72,0.25,3.6,No,353.8,21.43,636.7,Pass,Scratch,EMP283,Pass
2025-04-23,Shift 2,SP440433,Polycrystalline,Line 3,916.7,72,0.42,3.6,No,294.0,18.85,451.3,Pass,Misalignment,EMP732,Pass
2025-04-23,Shift 2,SP985612,Thin-Film,Line 3,998.9,72,0.17,3.5,No,341.2,15.42,276.8,Pass,Crack,EMP370,Fail
2025-04-23,Shift 2,SP992057,Polycrystalline,Line 1,979.7,72,0.39,3.3,Yes,292.8,20.97,722.6,Pass,Misalignment,EMP577,Pass
2025-04-24,Shift 1,SP426666,Thin-Film,Line 1,999.4,60,0.38,3.4,Yes,347.2,15.54,384.5,Fail,Crack,EMP531,Fail
2025-04-24,Shift 1,SP136085,Thin-Film,Line 2,1045.6,72,0.06,3.0,Yes,308.8,17.02,632.9,Pass,Misalignment,EMP681,Pass
2025-04-24,Shift 1,SP276624,Monocrystalline,Line 3,786.0,72,0.43,3.5,Yes,319.4,15.77,522.1,Pass,Pass,EMP217,Fail
2025-04-24,Shift 2,SP237474,Monocrystalline,Line 3,925.8,60,0.14,3.6,No,344.3,19.52,479.1,Fail,Crack,EMP372,Pass
2025-04-24,Shift 2,SP764494,Thin-Film,Line 2,601.9,60,0.41,3.9,No,365.5,16.87,770.0,Pass,Pass,EMP570,Pass
2025-04-24,Shift 2,SP355476,Monocrystalline,Line 2,1082.6,60,0.21,3.8,No,395.6,21.45,864.7,Pass,Scratch,EMP616,Pass
2025-04-25,Shift 1,SP688964,Monocrystalline,Line 2,749.9,72,0.48,3.5,Yes,273.7,15.11,882.7,Fail,Crack,EMP771,Fail
2025-04-25,Shift 1,SP438439,Thin-Film,Line 1,600.7,60,0.18,3.3,Yes,284.9,21.84,429.1,Fail,Misalignment,EMP804,Pass
2025-04-25,Shift 1,SP578340,Monocrystalline,Line 2,640.7,72,0.16,3.6,No,280.0,19.51,756.0,Pass,Misalignment,EMP706,Pass
2025-04-25,Shift 2,SP920961,Thin-Film,Line 3,892.7,72,0.13,4.0,No,333.0,21.28,963.5,Fail,Crack,EMP363,Pass
2025-04-25,Shift 2,SP878044,Thin-Film,Line 1,729.9,60,0.08,3.6,No,367.6,18.59,732.7,Fail,Misalignment,EMP363,Pass
2025-04-25,Shift 2,SP180233,Polycrystalline,Line 3,1189.8,72,0.2,3.4,Yes,260.9,21.74,461.9,Fail,Pass,EMP957,Pass
2025-04-26,Shift 1,SP385930,Thin-Film,Line 1,799.5,72,0.35,3.9,No,278.4,16.5,586.0,Pass,Pass,EMP734,Pass
2025-04-26,Shift 1,SP850635,Thin-Film,Line 2,1169.1,72,0.2,3.2,Yes,336.4,16.71,686.2,Pass,Crack,EMP515,Pass
2025-04-26,Shift 1,SP253968,Monocrystalline,Line 2,887.4,60,0.23,3.3,No,347.9,17.04,536.6,Fail,Pass,EMP139,Pass
2025-04-26,Shift 2,SP213337,Thin-Film,Line 2,662.7,60,0.14,3.8,No,295.4,18.02,946.0,Fail,Misalignment,EMP128,Pass
2025-04-26,Shift 2,SP507670,Monocrystalline,Line 3,620.8,60,0.29,3.7,No,376.2,19.43,406.4,Fail,Scratch,EMP875,Pass
2025-04-26,Shift 2,SP412078,Monocrystalline,Line 1,966.6,72,0.5,3.6,No,365.3,18.56,854.2,Pass,Crack,EMP706,Pass
2025-04-27,Shift 1,SP771516,Polycrystalline,Line 3,995.1,60,0.37,4.0,No,304.0,15.03,717.1,Pass,Scratch,EMP298,Fail
2025-04-27,Shift 1,SP864418,Polycrystalline,Line 1,1077.9,72,0.17,3.8,No,396.8,20.46,186.5,Fail,Misalignment,EMP906,Fail
2025-04-27,Shift 1,SP393492,Thin-Film,Line 1,1092.8,60,0.16,3.6,Yes,317.2,18.64,365.4,Fail,Scratch,EMP109,Pass
2025-04-27,Shift 2,SP224791,Monocrystalline,Line 3,1090.6,72,0.14,4.0,Yes,334.5,20.08,806.7,Pass,Crack,EMP852,Pass
2025-04-27,Shift 2,SP105595,Polycrystalline,Line 1,1127.6,60,0.41,3.2,No,335.7,16.0,865.6,Fail,Crack,EMP473,Pass
2025-04-27,Shift 2,SP979542,Thin-Film,Line 1,977.3,60,0.01,3.9,No,367.4,19.33,319.8,Pass,Scratch,EMP156,Pass
2025-04-28,Shift 1,SP847417,Thin-Film,Line 2,949.1,72,0.3,3.3,Yes,331.7,20.88,203.9,Fail,Pass,EMP687,Pass
2025-04-28,Shift 1,SP170397,Polycrystalline,Line 3,1035.7,72,0.26,3.1,Yes,347.3,20.96,975.3,Fail,Misalignment,EMP691,Pass
2025-04-28,Shift 1,SP379738,Polycrystalline,Line 1,706.2,60,0.49,3.4,Yes,395.4,18.56,484.1,Fail,Pass,EMP675,Pass
2025-04-28,Shift 2,SP368199,Monocrystalline,Line 3,810.7,60,0.23,4.0,Yes,275.3,21.3,882.5,Fail,Crack,EMP284,Pass
2025-04-28,Shift 2,SP910834,Monocrystalline,Line 3,1181.5,60,0.4,4.0,Yes,328.5,19.37,912.3,Pass,Misalignment,EMP264,Pass
2025-04-28,Shift 2,SP102607,Polycrystalline,Line 1,920.4,60,0.03,3.2,No,351.8,15.31,262.8,Pass,Pass,EMP622,Fail
2025-04-29,Shift 1,SP794820,Monocrystalline,Line 3,897.0,60,0.08,3.7,Yes,368.3,15.03,853.1,Pass,Misalignment,EMP807,Fail
2025-04-29,Shift 1,SP885836,Thin-Film,Line 3,944.1,72,0.22,3.5,No,377.7,18.22,736.3,Pass,Crack,EMP841,Pass
2025-04-29,Shift 1,SP187040,Thin-Film,Line 3,735.7,60,0.36,4.0,Yes,359.8,17.23,517.6,Pass,Pass,EMP603,Pass
2025-04-29,Shift 2,SP728040,Polycrystalline,Line 2,660.2,72,0.04,3.1,Yes,336.3,15.43,410.5,Pass,Misalignment,EMP329,Fail
2025-04-29,Shift 2,SP895021,Polycrystalline,Line 3,1176.6,72,0.4,3.8,Yes,394.9,19.75,946.6,Fail,Pass,EMP717,Pass
2025-04-29,Shift 2,SP667855,Thin-Film,Line 2,635.5,60,0.48,3.3,No,358.0,16.81,515.9,Fail,Pass,EMP911,Pass
2025-04-30,Shift 1,SP654377,Thin-Film,Line 1,1041.0,60,0.24,3.7,Yes,397.4,16.76,153.7,Pass,Crack,EMP127,Fail
2025-04-30,Shift 1,SP597703,Monocrystalline,Line 1,699.8,60,0.21,3.0,Yes,376.7,18.75,719.7,Pass,Crack,EMP381,Pass
