Date,Shift,Mold ID,Part Name,Wear Level (%),Surface Roughness (Ra μm),Clearance (mm),Alignment Accuracy (mm),Leak Check,Corrosion,Crack Detected,Function Test,Lubrication Status,Pass/Fail
2025-01-06,Shift 1,MOLD752,Clamp Plate,21.1,0.1,0.161,0.041,Pass,Moderate,Yes,Fail,Needs Reapply,Pass
2025-01-06,Shift 1,MOLD727,Ejector Pins,3.7,0.15,0.14,0.133,Fail,Severe,Yes,Fail,Needs Reapply,Pass
2025-01-06,Shift 2,MOLD978,Hot Runner Manifold,50.4,0.71,0.289,0.011,Pass,Moderate,No,Fail,Dry,Pass
2025-01-06,Shift 2,MOLD207,Cooling Channel,40.2,0.66,0.336,0.094,Fail,Moderate,No,Fail,Good,Pass
2025-01-06,Shift 2,MOLD505,Core Puller,40.2,0.18,0.131,0.196,Fail,Moderate,No,Fail,Good,Fail
2025-01-07,Shift 1,MOLD156,Ejector Plate,23.5,0.4,0.41,0.124,Pass,Moderate,Yes,Fail,Good,Pass
2025-01-07,Shift 1,MOLD503,Sprue Bushing,11.1,1.13,0.228,0.178,Fail,Minor,No,Fail,Good,Fail
2025-01-07,Shift 1,MOLD365,Support Pillar,67.5,1.17,0.421,0.155,Pass,Minor,Yes,Fail,Needs Reapply,Fail
2025-01-07,Shift 2,MOLD964,Core Puller,19.8,0.21,0.36,0.174,Pass,Severe,No,Fail,Needs Reapply,Fail
2025-01-07,Shift 2,MOLD374,Vent Groove,63.4,0.82,0.091,0.122,Fail,Moderate,Yes,Fail,Needs Reapply,Pass
2025-01-07,Shift 2,MOLD134,Vent Groove,6.3,0.5,0.132,0.138,Pass,Minor,Yes,Pass,Dry,Pass
2025-01-08,Shift 1,MOLD744,Guide Bushing,91.0,0.32,0.032,0.089,Fail,None,Yes,Pass,Dry,Fail
2025-01-08,Shift 1,MOLD462,Cooling Channel,65.5,0.72,0.208,0.159,Fail,None,Yes,Pass,Good,Fail
2025-01-08,Shift 1,MOLD271,Guide Bushing,63.9,0.21,0.281,0.193,Pass,Minor,Yes,Pass,Dry,Fail
2025-01-08,Shift 2,MOLD462,Cooling Channel,65.5,0.72,0.208,0.159,Fail,None,Yes,Pass,Good,Fail
2025-01-08,Shift 2,MOLD255,Cooling Channel,68.9,0.16,0.483,0.114,Fail,Minor,Yes,Fail,Good,Pass
2025-01-08,Shift 2,MOLD503,Hot Runner Manifold,27.0,1.06,0.471,0.132,Pass,None,Yes,Fail,Needs Reapply,Fail
2025-01-09,Shift 1,MOLD553,Hot Runner Manifold,32.9,0.9,0.219,0.034,Pass,Moderate,No,Pass,Dry,Pass
2025-01-09,Shift 1,MOLD880,Core Plate,35.8,1.09,0.285,0.146,Fail,Minor,No,Pass,Good,Fail
2025-01-09,Shift 1,MOLD666,Ejector Plate,9.7,0.13,0.23,0.031,Fail,Severe,No,Pass,Needs Reapply,Pass
2025-01-09,Shift 2,MOLD474,Slide Unit,13.9,0.1,0.331,0.14,Pass,Severe,No,Fail,Needs Reapply,Pass
2025-01-09,Shift 2,MOLD614,Lifter,58.7,0.44,0.116,0.179,Fail,Moderate,No,Fail,Dry,Fail
2025-01-09,Shift 2,MOLD325,Support Pillar,47.6,0.26,0.375,0.195,Fail,Minor,Yes,Pass,Needs Reapply,Fail
2025-01-10,Shift 1,MOLD458,Guide Bushing,92.4,0.83,0.304,0.107,Fail,Minor,Yes,Pass,Needs Reapply,Fail
2025-01-10,Shift 1,MOLD312,Ejector Plate,6.1,1.18,0.193,0.028,Pass,Severe,No,Fail,Needs Reapply,Fail
2025-01-10,Shift 1,MOLD771,Vent Groove,44.4,0.68,0.11,0.191,Pass,Severe,No,Pass,Good,Fail
2025-01-10,Shift 2,MOLD184,Cooling Channel,61.1,0.15,0.024,0.177,Fail,Severe,Yes,Pass,Dry,Fail
2025-01-10,Shift 2,MOLD897,Lifter,80.5,0.87,0.315,0.09,Fail,Moderate,Yes,Fail,Good,Fail
2025-01-10,Shift 2,MOLD312,Ejector Plate,6.1,1.18,0.193,0.028,Pass,Severe,No,Fail,Needs Reapply,Fail
2025-01-11,Shift 1,MOLD142,Clamp Plate,25.8,0.16,0.5,0.077,Fail,None,No,Pass,Needs Reapply,Pass
2025-01-11,Shift 1,MOLD279,Core Plate,23.2,0.82,0.243,0.121,Fail,Severe,No,Fail,Good,Pass
2025-01-11,Shift 1,MOLD231,Guide Pin,7.8,0.22,0.293,0.108,Pass,Severe,Yes,Fail,Dry,Pass
2025-01-11,Shift 2,MOLD241,Ejector Plate,14.8,0.9,0.267,0.157,Fail,Moderate,No,Pass,Dry,Fail
2025-01-11,Shift 2,MOLD865,Ejector Pins,50.4,0.56,0.346,0.13,Fail,None,Yes,Pass,Needs Reapply,Pass
2025-01-11,Shift 2,MOLD412,Ejector Plate,38.5,0.63,0.337,0.039,Fail,Minor,Yes,Pass,Needs Reapply,Pass
2025-01-12,Shift 1,MOLD317,Support Pillar,35.8,0.62,0.25,0.038,Fail,Moderate,No,Fail,Dry,Pass
2025-01-12,Shift 1,MOLD397,Runner Channel,73.9,0.9,0.284,0.019,Fail,Severe,No,Fail,Needs Reapply,Pass
2025-01-12,Shift 1,MOLD827,Lifter,66.7,1.18,0.433,0.155,Fail,Severe,Yes,Fail,Needs Reapply,Fail
2025-01-12,Shift 2,MOLD416,Lifter,100.0,1.07,0.43,0.078,Fail,Minor,Yes,Pass,Dry,Fail
2025-01-12,Shift 2,MOLD121,Sprue Bushing,53.9,0.82,0.366,0.185,Pass,None,Yes,Pass,Good,Fail
2025-01-12,Shift 2,MOLD771,Vent Groove,44.4,0.68,0.11,0.191,Pass,Severe,No,Pass,Good,Fail
2025-01-13,Shift 1,MOLD423,Slide Unit,50.5,0.73,0.026,0.135,Fail,None,No,Fail,Needs Reapply,Pass
2025-01-13,Shift 1,MOLD317,Core Plate,83.0,0.58,0.055,0.165,Fail,Severe,Yes,Fail,Dry,Fail
2025-01-13,Shift 1,MOLD800,Lifter,27.4,0.11,0.081,0.024,Fail,Minor,No,Pass,Good,Pass
2025-01-13,Shift 2,MOLD151,Clamp Plate,81.9,0.16,0.189,0.08,Pass,Severe,No,Pass,Needs Reapply,Fail
2025-01-13,Shift 2,MOLD816,Clamp Plate,12.0,0.65,0.199,0.089,Pass,None,Yes,Fail,Needs Reapply,Pass
2025-01-13,Shift 2,MOLD600,Ejector Pins,31.3,0.53,0.221,0.118,Fail,Minor,Yes,Fail,Dry,Pass
2025-01-14,Shift 1,MOLD852,Runner Channel,3.4,0.3,0.363,0.035,Pass,None,Yes,Pass,Good,Pass
2025-01-14,Shift 1,MOLD441,Slide Unit,32.5,0.65,0.095,0.128,Pass,Minor,No,Pass,Dry,Pass
2025-01-14,Shift 1,MOLD973,Sprue Bushing,74.3,0.57,0.185,0.058,Fail,None,No,Fail,Good,Pass
2025-01-14,Shift 2,MOLD423,Slide Unit,50.5,0.73,0.026,0.135,Fail,None,No,Fail,Needs Reapply,Pass
2025-01-14,Shift 2,MOLD135,Sprue Bushing,47.1,1.15,0.041,0.067,Fail,None,No,Fail,Good,Fail
2025-01-14,Shift 2,MOLD328,Guide Bushing,5.9,0.74,0.474,0.187,Pass,Moderate,Yes,Pass,Dry,Fail
2025-01-15,Shift 1,MOLD935,Guide Bushing,64.1,0.49,0.105,0.021,Pass,Severe,No,Fail,Dry,Pass
2025-01-15,Shift 1,MOLD507,Cooling Channel,22.5,0.22,0.272,0.114,Pass,Moderate,No,Fail,Dry,Pass
2025-01-15,Shift 1,MOLD752,Core Plate,30.4,0.56,0.41,0.087,Pass,Minor,Yes,Fail,Good,Pass
2025-01-15,Shift 2,MOLD235,Sprue Bushing,23.4,0.42,0.064,0.037,Pass,Severe,Yes,Pass,Dry,Pass
2025-01-15,Shift 2,MOLD251,Cavity Plate,21.5,0.96,0.368,0.08,Pass,Severe,Yes,Fail,Needs Reapply,Pass
2025-01-15,Shift 2,MOLD416,Lifter,100.0,1.07,0.43,0.078,Fail,Minor,Yes,Pass,Dry,Fail
2025-01-16,Shift 1,MOLD268,Guide Bushing,31.5,0.88,0.089,0.173,Pass,None,No,Fail,Good,Fail
2025-01-16,Shift 1,MOLD338,Hot Runner Manifold,4.5,1.2,0.113,0.174,Pass,Minor,Yes,Fail,Needs Reapply,Fail
2025-01-16,Shift 1,MOLD748,Clamp Plate,27.1,0.25,0.027,0.197,Pass,Moderate,Yes,Pass,Dry,Fail
2025-01-16,Shift 2,MOLD333,Hot Runner Manifold,18.3,0.79,0.026,0.115,Pass,Moderate,Yes,Pass,Needs Reapply,Pass
2025-01-16,Shift 2,MOLD630,Core Plate,84.8,0.55,0.22,0.112,Pass,Minor,Yes,Fail,Good,Fail
2025-01-16,Shift 2,MOLD162,Cooling Channel,3.4,1.09,0.394,0.177,Pass,Moderate,No,Fail,Good,Fail
2025-01-17,Shift 1,MOLD587,Core Plate,63.3,0.27,0.394,0.073,Fail,None,Yes,Pass,Dry,Pass
2025-01-17,Shift 1,MOLD674,Slide Unit,4.4,1.1,0.161,0.065,Fail,None,Yes,Fail,Dry,Fail
2025-01-17,Shift 1,MOLD348,Core Puller,23.5,0.51,0.15,0.036,Fail,Minor,Yes,Fail,Dry,Pass
2025-01-17,Shift 2,MOLD715,Sprue Bushing,54.5,0.3,0.293,0.043,Pass,Minor,No,Fail,Dry,Pass
2025-01-17,Shift 2,MOLD191,Cooling Channel,74.0,0.75,0.387,0.034,Pass,None,Yes,Fail,Dry,Pass
2025-01-17,Shift 2,MOLD101,Clamp Plate,19.3,0.35,0.483,0.053,Pass,Severe,No,Pass,Needs Reapply,Pass
2025-01-18,Shift 1,MOLD908,Ejector Pins,41.2,0.41,0.263,0.051,Fail,Minor,No,Pass,Dry,Pass
2025-01-18,Shift 1,MOLD882,Vent Groove,98.7,0.91,0.017,0.166,Pass,Minor,Yes,Fail,Needs Reapply,Fail
2025-01-18,Shift 1,MOLD806,Support Pillar,45.5,0.99,0.407,0.043,Fail,Moderate,Yes,Fail,Needs Reapply,Pass
2025-01-18,Shift 2,MOLD953,Ejector Pins,52.5,0.72,0.013,0.112,Fail,Minor,Yes,Pass,Needs Reapply,Pass
2025-01-18,Shift 2,MOLD999,Core Plate,51.8,0.41,0.09,0.188,Pass,Minor,Yes,Fail,Good,Fail
2025-01-18,Shift 2,MOLD877,Cooling Channel,78.6,0.63,0.415,0.052,Pass,None,No,Pass,Dry,Pass
2025-01-19,Shift 1,MOLD481,Ejector Pins,76.1,1.06,0.295,0.084,Pass,Severe,Yes,Pass,Dry,Fail
2025-01-19,Shift 1,MOLD435,Cooling Channel,49.9,0.34,0.364,0.04,Pass,Severe,Yes,Fail,Good,Pass
2025-01-19,Shift 1,MOLD335,Slide Unit,2.7,1.05,0.086,0.016,Fail,None,No,Pass,Good,Fail
2025-01-19,Shift 2,MOLD152,Cooling Channel,50.6,0.38,0.368,0.08,Fail,Minor,Yes,Pass,Good,Pass
2025-01-19,Shift 2,MOLD679,Lifter,86.3,1.12,0.273,0.125,Fail,None,No,Fail,Good,Fail
2025-01-19,Shift 2,MOLD254,Support Pillar,22.2,0.57,0.2,0.028,Fail,Minor,No,Fail,Good,Pass
2025-01-20,Shift 1,MOLD226,Cavity Plate,3.3,0.35,0.046,0.176,Pass,None,Yes,Pass,Dry,Fail
2025-01-20,Shift 1,MOLD748,Clamp Plate,27.1,0.25,0.027,0.197,Pass,Moderate,Yes,Pass,Dry,Fail
2025-01-20,Shift 1,MOLD998,Hot Runner Manifold,30.2,0.86,0.215,0.025,Pass,Moderate,No,Fail,Dry,Pass
2025-01-20,Shift 2,MOLD978,Hot Runner Manifold,50.4,0.71,0.289,0.011,Pass,Moderate,No,Fail,Dry,Pass
2025-01-20,Shift 2,MOLD804,Ejector Plate,68.8,0.32,0.184,0.101,Pass,Moderate,Yes,Pass,Good,Pass
2025-01-20,Shift 2,MOLD254,Clamp Plate,12.4,0.12,0.305,0.114,Pass,Minor,No,Pass,Dry,Pass
2025-01-21,Shift 1,MOLD821,Vent Groove,33.5,1.14,0.262,0.19,Fail,Severe,Yes,Pass,Good,Fail
2025-01-21,Shift 1,MOLD406,Vent Groove,2.0,0.56,0.058,0.015,Pass,Moderate,No,Pass,Dry,Pass
2025-01-21,Shift 1,MOLD970,Guide Bushing,31.5,0.57,0.232,0.032,Fail,Severe,No,Pass,Needs Reapply,Pass
2025-01-21,Shift 2,MOLD208,Support Pillar,84.4,0.8,0.024,0.123,Fail,Severe,No,Fail,Dry,Fail
2025-01-21,Shift 2,MOLD634,Gate Insert,30.8,0.61,0.411,0.182,Pass,Severe,No,Pass,Dry,Fail
2025-01-21,Shift 2,MOLD979,Core Puller,10.2,1.16,0.432,0.141,Pass,None,Yes,Fail,Good,Fail
2025-01-22,Shift 1,MOLD897,Lifter,80.5,0.87,0.315,0.09,Fail,Moderate,Yes,Fail,Good,Fail
2025-01-22,Shift 1,MOLD507,Vent Groove,37.7,0.65,0.023,0.176,Fail,Severe,Yes,Pass,Dry,Fail
2025-01-22,Shift 1,MOLD749,Cavity Plate,55.9,0.18,0.463,0.198,Fail,Moderate,Yes,Fail,Good,Fail
2025-01-22,Shift 2,MOLD511,Lifter,24.3,0.63,0.226,0.082,Fail,None,Yes,Fail,Needs Reapply,Pass
2025-01-22,Shift 2,MOLD683,Ejector Pins,27.6,0.41,0.318,0.084,Pass,Moderate,No,Pass,Good,Pass
2025-01-22,Shift 2,MOLD566,Cavity Plate,36.3,0.38,0.347,0.11,Pass,None,No,Pass,Dry,Pass
2025-01-23,Shift 1,MOLD173,Vent Groove,25.5,0.22,0.026,0.054,Pass,Severe,Yes,Pass,Needs Reapply,Pass
2025-01-23,Shift 1,MOLD955,Lifter,15.6,0.63,0.187,0.068,Pass,None,Yes,Pass,Good,Pass
2025-01-23,Shift 1,MOLD406,Vent Groove,2.0,0.56,0.058,0.015,Pass,Moderate,No,Pass,Dry,Pass
2025-01-23,Shift 2,MOLD816,Clamp Plate,12.0,0.65,0.199,0.089,Pass,None,Yes,Fail,Needs Reapply,Pass
2025-01-23,Shift 2,MOLD605,Clamp Plate,81.6,1.16,0.428,0.026,Fail,Moderate,No,Fail,Dry,Fail
2025-01-23,Shift 2,MOLD575,Slide Unit,55.1,1.0,0.23,0.146,Fail,None,No,Pass,Dry,Pass
2025-01-24,Shift 1,MOLD955,Support Pillar,41.3,0.63,0.357,0.083,Fail,Moderate,Yes,Fail,Needs Reapply,Pass
2025-01-24,Shift 1,MOLD706,Vent Groove,80.7,1.0,0.054,0.102,Fail,None,Yes,Fail,Needs Reapply,Fail
2025-01-24,Shift 1,MOLD634,Gate Insert,30.8,0.61,0.411,0.182,Pass,Severe,No,Pass,Dry,Fail
2025-01-24,Shift 2,MOLD474,Cooling Channel,27.6,0.96,0.104,0.016,Pass,Moderate,Yes,Fail,Dry,Pass
2025-01-24,Shift 2,MOLD316,Gate Insert,5.9,0.21,0.372,0.143,Fail,Moderate,Yes,Pass,Good,Pass
2025-01-24,Shift 2,MOLD953,Ejector Pins,52.5,0.72,0.013,0.112,Fail,Minor,Yes,Pass,Needs Reapply,Pass
2025-01-25,Shift 1,MOLD562,Lifter,33.0,1.17,0.118,0.119,Fail,None,No,Pass,Dry,Fail
2025-01-25,Shift 1,MOLD276,Lifter,5.1,0.77,0.151,0.089,Fail,Minor,Yes,Pass,Dry,Pass
2025-01-25,Shift 1,MOLD325,Support Pillar,47.6,0.26,0.375,0.195,Fail,Minor,Yes,Pass,Needs Reapply,Fail
2025-01-25,Shift 2,MOLD212,Vent Groove,20.6,1.09,0.158,0.07,Fail,None,Yes,Fail,Good,Fail
2025-01-25,Shift 2,MOLD184,Cooling Channel,61.1,0.15,0.024,0.177,Fail,Severe,Yes,Pass,Dry,Fail
2025-01-25,Shift 2,MOLD321,Core Puller,41.9,0.71,0.113,0.031,Fail,Moderate,Yes,Pass,Needs Reapply,Pass
2025-01-26,Shift 1,MOLD958,Cooling Channel,38.6,0.71,0.387,0.056,Pass,None,No,Pass,Needs Reapply,Pass
2025-01-26,Shift 1,MOLD995,Core Puller,20.8,0.86,0.181,0.13,Pass,Minor,No,Fail,Dry,Pass
2025-01-26,Shift 1,MOLD188,Gate Insert,26.0,1.06,0.344,0.179,Pass,Minor,Yes,Pass,Needs Reapply,Fail
2025-01-26,Shift 2,MOLD683,Ejector Pins,27.6,0.41,0.318,0.084,Pass,Moderate,No,Pass,Good,Pass
2025-01-26,Shift 2,MOLD988,Ejector Plate,16.1,0.26,0.035,0.135,Pass,Moderate,No,Fail,Good,Pass
2025-01-26,Shift 2,MOLD565,Ejector Pins,63.7,0.38,0.274,0.113,Pass,Severe,No,Fail,Needs Reapply,Pass
2025-01-27,Shift 1,MOLD189,Vent Groove,64.0,0.79,0.295,0.138,Fail,Moderate,Yes,Pass,Good,Pass
2025-01-27,Shift 1,MOLD827,Lifter,66.7,1.18,0.433,0.155,Fail,Severe,Yes,Fail,Needs Reapply,Fail
2025-01-27,Shift 1,MOLD191,Cooling Channel,74.0,0.75,0.387,0.034,Pass,None,Yes,Fail,Dry,Pass
2025-01-27,Shift 2,MOLD189,Vent Groove,64.0,0.79,0.295,0.138,Fail,Moderate,Yes,Pass,Good,Pass
2025-01-27,Shift 2,MOLD317,Support Pillar,35.8,0.62,0.25,0.038,Fail,Moderate,No,Fail,Dry,Pass
2025-01-27,Shift 2,MOLD939,Lifter,48.3,0.95,0.445,0.105,Fail,Minor,Yes,Pass,Good,Pass
2025-01-28,Shift 1,MOLD134,Vent Groove,6.3,0.5,0.132,0.138,Pass,Minor,Yes,Pass,Dry,Pass
2025-01-28,Shift 1,MOLD129,Clamp Plate,31.7,0.44,0.305,0.092,Fail,Moderate,No,Pass,Dry,Pass
2025-01-28,Shift 1,MOLD800,Lifter,27.4,0.11,0.081,0.024,Fail,Minor,No,Pass,Good,Pass
2025-01-28,Shift 2,MOLD880,Lifter,53.9,0.94,0.114,0.14,Pass,Severe,Yes,Fail,Good,Pass
2025-01-28,Shift 2,MOLD296,Runner Channel,93.4,0.75,0.295,0.167,Pass,Severe,Yes,Fail,Dry,Fail
2025-01-28,Shift 2,MOLD640,Support Pillar,87.7,0.93,0.469,0.057,Pass,Severe,Yes,Pass,Good,Fail
2025-01-29,Shift 1,MOLD327,Guide Pin,33.0,0.36,0.373,0.137,Pass,Severe,Yes,Fail,Dry,Pass
2025-01-29,Shift 1,MOLD404,Support Pillar,64.2,0.14,0.264,0.068,Pass,Severe,No,Pass,Dry,Pass
2025-01-29,Shift 1,MOLD654,Cooling Channel,64.4,0.44,0.05,0.106,Fail,Severe,No,Pass,Needs Reapply,Pass
2025-01-29,Shift 2,MOLD706,Vent Groove,80.7,1.0,0.054,0.102,Fail,None,Yes,Fail,Needs Reapply,Fail
2025-01-29,Shift 2,MOLD255,Cooling Channel,68.9,0.16,0.483,0.114,Fail,Minor,Yes,Fail,Good,Pass
2025-01-29,Shift 2,MOLD625,Lifter,38.0,0.86,0.278,0.139,Pass,None,Yes,Pass,Good,Pass
2025-01-30,Shift 1,MOLD321,Core Puller,41.9,0.71,0.113,0.031,Fail,Moderate,Yes,Pass,Needs Reapply,Pass
2025-01-30,Shift 1,MOLD683,Ejector Pins,27.6,0.41,0.318,0.084,Pass,Moderate,No,Pass,Good,Pass
2025-01-30,Shift 1,MOLD883,Hot Runner Manifold,82.3,0.89,0.17,0.183,Fail,None,Yes,Fail,Dry,Fail
2025-01-30,Shift 2,MOLD811,Cooling Channel,79.4,0.53,0.299,0.177,Fail,Minor,Yes,Pass,Dry,Fail
2025-01-30,Shift 2,MOLD121,Sprue Bushing,53.9,0.82,0.366,0.185,Pass,None,Yes,Pass,Good,Fail
2025-01-30,Shift 2,MOLD502,Clamp Plate,17.7,1.04,0.419,0.107,Pass,Moderate,Yes,Pass,Needs Reapply,Fail
2025-01-31,Shift 1,MOLD802,Support Pillar,49.3,0.83,0.327,0.037,Pass,Severe,No,Fail,Dry,Pass
2025-01-31,Shift 1,MOLD742,Sprue Bushing,50.2,0.79,0.034,0.089,Pass,Moderate,No,Fail,Needs Reapply,Pass
2025-01-31,Shift 1,MOLD706,Vent Groove,80.7,1.0,0.054,0.102,Fail,None,Yes,Fail,Needs Reapply,Fail
2025-01-31,Shift 2,MOLD503,Guide Pin,38.1,1.07,0.338,0.157,Fail,Moderate,Yes,Fail,Needs Reapply,Fail
2025-01-31,Shift 2,MOLD729,Slide Unit,5.3,0.37,0.239,0.101,Pass,Severe,Yes,Fail,Good,Pass
2025-01-31,Shift 2,MOLD932,Vent Groove,79.8,0.49,0.178,0.183,Fail,Severe,Yes,Pass,Dry,Fail
2025-02-01,Shift 1,MOLD138,Lifter,63.6,0.12,0.209,0.118,Pass,Severe,Yes,Pass,Needs Reapply,Pass
2025-02-01,Shift 1,MOLD988,Cooling Channel,13.6,0.41,0.266,0.035,Pass,Severe,No,Pass,Good,Pass
2025-02-01,Shift 1,MOLD447,Guide Bushing,98.0,0.9,0.415,0.061,Pass,Moderate,No,Pass,Needs Reapply,Fail
2025-02-01,Shift 2,MOLD207,Ejector Plate,14.3,0.42,0.421,0.141,Fail,Severe,No,Fail,Needs Reapply,Pass
2025-02-01,Shift 2,MOLD640,Support Pillar,87.7,0.93,0.469,0.057,Pass,Severe,Yes,Pass,Good,Fail
2025-02-01,Shift 2,MOLD162,Cooling Channel,3.4,1.09,0.394,0.177,Pass,Moderate,No,Fail,Good,Fail
2025-02-02,Shift 1,MOLD255,Cooling Channel,68.9,0.16,0.483,0.114,Fail,Minor,Yes,Fail,Good,Pass
2025-02-02,Shift 1,MOLD950,Gate Insert,93.3,0.27,0.195,0.151,Fail,Moderate,Yes,Fail,Needs Reapply,Fail
2025-02-02,Shift 1,MOLD917,Guide Pin,32.2,0.56,0.414,0.042,Fail,Moderate,Yes,Fail,Dry,Pass
2025-02-02,Shift 2,MOLD692,Guide Pin,96.5,0.49,0.014,0.111,Fail,Minor,No,Pass,Dry,Fail
2025-02-02,Shift 2,MOLD272,Ejector Plate,75.9,0.69,0.046,0.014,Fail,Minor,Yes,Pass,Dry,Pass
2025-02-02,Shift 2,MOLD985,Ejector Pins,37.8,0.65,0.204,0.18,Fail,Moderate,Yes,Fail,Needs Reapply,Fail
2025-02-03,Shift 1,MOLD463,Core Puller,88.0,0.29,0.484,0.174,Pass,Severe,No,Pass,Dry,Fail
2025-02-03,Shift 1,MOLD164,Core Plate,34.2,0.94,0.356,0.181,Pass,Moderate,Yes,Fail,Good,Fail
2025-02-03,Shift 1,MOLD321,Core Puller,41.9,0.71,0.113,0.031,Fail,Moderate,Yes,Pass,Needs Reapply,Pass
2025-02-03,Shift 2,MOLD117,Support Pillar,73.5,0.98,0.257,0.109,Fail,Severe,No,Fail,Good,Pass
2025-02-03,Shift 2,MOLD553,Cooling Channel,12.3,0.38,0.271,0.086,Pass,None,No,Fail,Dry,Pass
2025-02-03,Shift 2,MOLD845,Core Puller,99.9,0.25,0.332,0.131,Fail,Severe,No,Pass,Dry,Fail
2025-02-04,Shift 1,MOLD282,Sprue Bushing,11.9,0.52,0.33,0.102,Pass,Minor,Yes,Fail,Needs Reapply,Pass
2025-02-04,Shift 1,MOLD239,Guide Bushing,12.3,0.39,0.035,0.133,Fail,None,No,Fail,Good,Pass
2025-02-04,Shift 1,MOLD288,Core Puller,38.1,0.16,0.086,0.095,Fail,None,No,Pass,Needs Reapply,Pass
