Date,Shift,Batch ID,Model,Dashboard Type,Display Resolution,Backlight Brightness (nits),Touch Screen Sensitivity (ms),Button Press Response (ms),Wiring Harness Check,CAN Bus Signal Integrity,Boot Time (sec),Software Version,Warning Light Cycle OK,Touch Calibration Status,Tested RPM Reading,Tested Speed Reading (km/h),Tested Fuel Level (%),Tester ID,Pass/Fail
2025-01-07,Shift 2,DASH1731,Camry,Digital,1024x600,297.4,44.28,36.77,Pass,Fail,5.3,v1.25.3,Yes,Not Calibrated,4170.0,127.0,60.6,EMP290,Pass
2025-01-08,Shift 1,DASH6648,Yaris,Hybrid,800x480,274.0,29.63,33.95,Pass,Fail,8.89,v1.27.1,No,Calibrated,3604.0,204.0,84.8,EMP436,Pass
2025-01-08,Shift 1,DASH3763,RAV4,Analog,1280x720,211.1,24.3,24.91,Fail,Pass,6.28,v1.27.1,No,Calibrated,1958.0,129.0,39.8,EMP132,Pass
2025-01-08,Shift 1,DASH4954,RAV4,Hybrid,800x480,440.0,29.46,11.99,Fail,Pass,3.7,v1.26.0,No,Not Calibrated,3425.0,93.0,48.9,EMP157,Pass
2025-01-08,Shift 2,DASH2162,Yaris,Digital,1024x600,404.5,41.76,20.57,Fail,Pass,6.71,v1.26.0,Yes,Calibrated,6543.0,17.0,61.7,EMP306,Fail
2025-01-08,Shift 2,DASH8313,Highlander,Hybrid,1024x600,399.6,10.09,14.64,Fail,Fail,6.88,v1.26.0,No,Calibrated,6659.0,0.0,22.6,EMP790,Pass
2025-01-08,Shift 2,DASH4666,Corolla,Hybrid,800x480,302.1,17.52,33.16,Pass,Pass,6.73,v1.25.3,No,Not Calibrated,1103.0,3.0,96.2,EMP912,Pass
2025-01-09,Shift 1,DASH9075,Corolla,Digital,800x480,431.5,43.71,19.79,Pass,Fail,7.71,v1.26.0,No,Calibrated,5661.0,227.0,90.5,EMP456,Pass
2025-01-09,Shift 1,DASH7251,Yaris,Hybrid,1280x720,311.9,49.95,36.3,Fail,Fail,8.8,v1.24.7,No,Calibrated,6543.0,110.0,72.9,EMP468,Pass
2025-01-09,Shift 1,DASH7733,Yaris,Analog,1024x600,221.6,38.93,13.11,Fail,Pass,6.31,v1.25.3,No,Not Calibrated,4311.0,202.0,10.2,EMP485,Pass
2025-01-09,Shift 2,DASH1836,RAV4,Hybrid,800x480,355.8,11.33,35.85,Fail,Pass,2.34,v1.24.7,No,Calibrated,4414.0,122.0,66.7,EMP706,Pass
2025-01-09,Shift 2,DASH3956,Tacoma,Digital,1024x600,347.0,11.92,21.91,Fail,Pass,5.63,v1.26.0,No,Not Calibrated,6663.0,151.0,16.1,EMP728,Fail
2025-01-09,Shift 2,DASH4361,RAV4,Analog,800x480,308.4,34.31,27.48,Pass,Fail,7.97,v1.25.3,Yes,Calibrated,1759.0,141.0,35.9,EMP900,Pass
2025-01-10,Shift 1,DASH1836,RAV4,Hybrid,800x480,355.8,11.33,35.85,Fail,Pass,2.34,v1.24.7,No,Calibrated,4414.0,122.0,66.7,EMP706,Pass
2025-01-10,Shift 1,DASH6297,Corolla,Hybrid,1024x600,290.1,13.14,20.1,Pass,Fail,7.51,v1.25.3,No,Calibrated,6193.0,91.0,38.6,EMP499,Pass
2025-01-10,Shift 1,DASH7936,Corolla,Analog,1280x720,210.7,35.12,16.22,Fail,Fail,7.34,v1.24.7,No,Calibrated,1695.0,100.0,86.2,EMP970,Pass
2025-01-10,Shift 2,DASH3801,Tacoma,Digital,1024x600,229.2,13.91,33.73,Pass,Pass,8.3,v1.25.3,No,Calibrated,3732.0,174.0,37.7,EMP533,Pass
2025-01-10,Shift 2,DASH3515,Corolla,Digital,800x480,238.8,28.95,30.84,Fail,Fail,3.6,v1.26.0,Yes,Calibrated,708.0,102.0,95.1,EMP950,Pass
2025-01-10,Shift 2,DASH7316,Camry,Digital,1024x600,339.8,39.03,25.07,Pass,Pass,9.14,v1.26.0,No,Calibrated,5342.0,204.0,70.6,EMP340,Pass
2025-01-11,Shift 1,DASH2645,Tacoma,Digital,800x480,459.2,16.63,39.83,Fail,Pass,3.38,v1.24.7,No,Calibrated,4986.0,182.0,12.7,EMP623,Pass
2025-01-11,Shift 1,DASH8786,Tacoma,Hybrid,1024x600,369.7,47.75,14.63,Pass,Fail,7.75,v1.27.1,No,Not Calibrated,6958.0,83.0,45.0,EMP107,Pass
2025-01-11,Shift 1,DASH1836,RAV4,Hybrid,800x480,355.8,11.33,35.85,Fail,Pass,2.34,v1.24.7,No,Calibrated,4414.0,122.0,66.7,EMP706,Pass
2025-01-11,Shift 2,DASH1784,Highlander,Hybrid,1280x720,477.4,16.09,24.49,Pass,Pass,5.22,v1.25.3,Yes,Not Calibrated,5408.0,224.0,50.1,EMP505,Pass
2025-01-11,Shift 2,DASH2645,Tacoma,Digital,800x480,459.2,16.63,39.83,Fail,Pass,3.38,v1.24.7,No,Calibrated,4986.0,182.0,12.7,EMP623,Pass
2025-01-11,Shift 2,DASH8671,Tacoma,Digital,800x480,452.8,14.83,39.58,Fail,Pass,8.54,v1.27.1,Yes,Calibrated,5885.0,72.0,52.2,EMP767,Pass
2025-01-12,Shift 1,DASH9359,RAV4,Analog,1024x600,315.5,16.36,37.83,Fail,Pass,5.47,v1.24.7,No,Calibrated,4911.0,87.0,83.1,EMP659,Pass
2025-01-12,Shift 1,DASH2126,RAV4,Hybrid,1280x720,344.2,13.89,22.19,Fail,Pass,7.45,v1.27.1,Yes,Calibrated,4490.0,216.0,68.4,EMP116,Pass
2025-01-12,Shift 1,DASH4167,Camry,Digital,1280x720,242.4,38.07,36.56,Pass,Pass,2.95,v1.24.7,Yes,Not Calibrated,1301.0,95.0,64.7,EMP462,Pass
2025-01-12,Shift 2,DASH4595,Yaris,Analog,1280x720,409.1,14.25,24.31,Pass,Pass,8.02,v1.27.1,Yes,Not Calibrated,4015.0,90.0,79.6,EMP787,Pass
2025-01-12,Shift 2,DASH3741,Yaris,Hybrid,1280x720,499.0,38.13,39.58,Fail,Fail,6.66,v1.27.1,No,Calibrated,735.0,214.0,22.5,EMP675,Pass
2025-01-12,Shift 2,DASH4361,RAV4,Analog,800x480,308.4,34.31,27.48,Pass,Fail,7.97,v1.25.3,Yes,Calibrated,1759.0,141.0,35.9,EMP900,Pass
2025-01-13,Shift 1,DASH8392,Camry,Hybrid,800x480,309.1,42.88,38.95,Pass,Pass,3.23,v1.27.1,Yes,Not Calibrated,3666.0,83.0,73.8,EMP189,Pass
2025-01-13,Shift 1,DASH3741,Yaris,Hybrid,1280x720,499.0,38.13,39.58,Fail,Fail,6.66,v1.27.1,No,Calibrated,735.0,214.0,22.5,EMP675,Pass
2025-01-13,Shift 1,DASH3755,Highlander,Hybrid,1024x600,301.4,30.96,27.19,Fail,Pass,2.72,v1.26.0,Yes,Calibrated,3480.0,149.0,9.7,EMP490,Pass
2025-01-13,Shift 2,DASH8511,Corolla,Hybrid,1280x720,211.9,42.63,32.85,Fail,Fail,2.55,v1.25.3,Yes,Not Calibrated,5889.0,161.0,59.1,EMP218,Pass
2025-01-13,Shift 2,DASH8901,Camry,Digital,800x480,487.2,43.88,27.74,Fail,Pass,8.41,v1.24.7,Yes,Not Calibrated,2950.0,91.0,88.2,EMP449,Pass
2025-01-13,Shift 2,DASH3049,Tacoma,Digital,800x480,203.4,10.17,36.03,Fail,Pass,9.64,v1.27.1,No,Not Calibrated,2977.0,83.0,11.5,EMP612,Pass
2025-01-14,Shift 1,DASH9653,Camry,Hybrid,1280x720,412.9,28.85,11.47,Pass,Fail,3.36,v1.26.0,Yes,Not Calibrated,3574.0,131.0,28.2,EMP750,Pass
2025-01-14,Shift 1,DASH8020,RAV4,Hybrid,1024x600,232.8,40.67,13.01,Pass,Fail,4.54,v1.25.3,Yes,Not Calibrated,4642.0,63.0,15.9,EMP398,Pass
2025-01-14,Shift 1,DASH3755,Highlander,Hybrid,1024x600,301.4,30.96,27.19,Fail,Pass,2.72,v1.26.0,Yes,Calibrated,3480.0,149.0,9.7,EMP490,Pass
2025-01-14,Shift 2,DASH4167,Camry,Digital,1280x720,242.4,38.07,36.56,Pass,Pass,2.95,v1.24.7,Yes,Not Calibrated,1301.0,95.0,64.7,EMP462,Pass
2025-01-14,Shift 2,DASH1593,Tacoma,Analog,1280x720,226.4,49.56,28.59,Pass,Pass,8.18,v1.25.3,No,Calibrated,5312.0,50.0,90.5,EMP362,Pass
2025-01-14,Shift 2,DASH2180,Camry,Hybrid,1280x720,305.9,27.45,24.17,Pass,Pass,8.78,v1.25.3,Yes,Calibrated,984.0,96.0,84.6,EMP968,Pass
2025-01-15,Shift 1,DASH9739,RAV4,Digital,1280x720,263.5,45.72,18.26,Pass,Fail,8.84,v1.27.1,No,Not Calibrated,3299.0,71.0,77.4,EMP661,Pass
2025-01-15,Shift 1,DASH3806,Tacoma,Digital,1024x600,337.6,49.92,24.56,Fail,Fail,4.46,v1.25.3,Yes,Calibrated,3159.0,161.0,11.7,EMP156,Pass
2025-01-15,Shift 1,DASH6856,Highlander,Hybrid,1280x720,370.4,35.33,24.87,Pass,Pass,3.46,v1.24.7,No,Calibrated,6715.0,86.0,68.5,EMP390,Pass
2025-01-15,Shift 2,DASH4570,RAV4,Hybrid,1024x600,465.9,34.42,31.51,Pass,Fail,6.57,v1.24.7,No,Not Calibrated,1456.0,152.0,97.6,EMP197,Pass
2025-01-15,Shift 2,DASH2916,Yaris,Hybrid,800x480,396.6,47.5,31.59,Fail,Pass,5.72,v1.24.7,No,Calibrated,1070.0,159.0,33.2,EMP468,Pass
2025-01-15,Shift 2,DASH9359,RAV4,Analog,1024x600,315.5,16.36,37.83,Fail,Pass,5.47,v1.24.7,No,Calibrated,4911.0,87.0,83.1,EMP659,Pass
2025-01-16,Shift 1,DASH5527,Camry,Hybrid,1280x720,308.9,28.22,28.79,Pass,Pass,7.79,v1.27.1,Yes,Not Calibrated,4225.0,47.0,34.0,EMP249,Pass
2025-01-16,Shift 1,DASH2180,Camry,Hybrid,1280x720,305.9,27.45,24.17,Pass,Pass,8.78,v1.25.3,Yes,Calibrated,984.0,96.0,84.6,EMP968,Pass
2025-01-16,Shift 1,DASH3480,Camry,Digital,1280x720,294.1,25.07,30.99,Pass,Pass,4.78,v1.26.0,Yes,Calibrated,1067.0,46.0,37.8,EMP433,Pass
2025-01-16,Shift 2,DASH6039,Yaris,Hybrid,800x480,232.9,15.36,20.41,Pass,Pass,3.42,v1.25.3,No,Not Calibrated,952.0,190.0,51.8,EMP645,Pass
2025-01-16,Shift 2,DASH9115,Tacoma,Analog,800x480,453.5,19.05,32.0,Pass,Fail,5.19,v1.27.1,No,Calibrated,5029.0,197.0,16.7,EMP916,Pass
2025-01-16,Shift 2,DASH6357,Camry,Analog,1280x720,283.6,38.41,33.6,Fail,Pass,5.56,v1.24.7,Yes,Calibrated,1328.0,124.0,20.9,EMP692,Pass
2025-01-17,Shift 1,DASH1593,Tacoma,Analog,1280x720,226.4,49.56,28.59,Pass,Pass,8.18,v1.25.3,No,Calibrated,5312.0,50.0,90.5,EMP362,Pass
2025-01-17,Shift 1,DASH9359,RAV4,Analog,1024x600,315.5,16.36,37.83,Fail,Pass,5.47,v1.24.7,No,Calibrated,4911.0,87.0,83.1,EMP659,Pass
2025-01-17,Shift 1,DASH2180,Camry,Hybrid,1280x720,305.9,27.45,24.17,Pass,Pass,8.78,v1.25.3,Yes,Calibrated,984.0,96.0,84.6,EMP968,Pass
2025-01-17,Shift 2,DASH2645,Tacoma,Digital,800x480,459.2,16.63,39.83,Fail,Pass,3.38,v1.24.7,No,Calibrated,4986.0,182.0,12.7,EMP623,Pass
2025-01-17,Shift 2,DASH7173,Tacoma,Hybrid,1280x720,379.7,13.71,23.44,Pass,Fail,5.47,v1.25.3,Yes,Calibrated,868.0,49.0,1.6,EMP679,Fail
2025-01-17,Shift 2,DASH5055,Camry,Analog,1280x720,408.5,26.57,14.94,Pass,Fail,2.3,v1.25.3,No,Calibrated,5560.0,58.0,87.0,EMP536,Pass
2025-01-18,Shift 1,DASH8891,Camry,Analog,800x480,277.8,41.36,20.35,Pass,Pass,5.84,v1.24.7,No,Not Calibrated,818.0,141.0,67.8,EMP130,Pass
2025-01-18,Shift 1,DASH1172,Camry,Analog,1024x600,370.8,39.94,21.5,Pass,Pass,4.64,v1.24.7,Yes,Not Calibrated,3041.0,123.0,11.4,EMP421,Pass
2025-01-18,Shift 1,DASH1447,Camry,Hybrid,1024x600,224.6,35.33,22.33,Pass,Pass,6.24,v1.27.1,Yes,Not Calibrated,5666.0,74.0,4.1,EMP865,Pass
2025-01-18,Shift 2,DASH6856,Highlander,Hybrid,1280x720,370.4,35.33,24.87,Pass,Pass,3.46,v1.24.7,No,Calibrated,6715.0,86.0,68.5,EMP390,Pass
2025-01-18,Shift 2,DASH7843,Highlander,Hybrid,1024x600,318.8,32.07,33.27,Fail,Fail,6.59,v1.24.7,Yes,Not Calibrated,5790.0,210.0,39.3,EMP667,Pass
2025-01-18,Shift 2,DASH7518,RAV4,Analog,800x480,335.0,31.2,25.93,Fail,Fail,7.96,v1.24.7,Yes,Calibrated,6678.0,93.0,26.5,EMP181,Pass
2025-01-19,Shift 1,DASH9468,Highlander,Analog,1280x720,277.2,11.47,15.88,Pass,Pass,3.49,v1.25.3,No,Not Calibrated,2396.0,46.0,36.2,EMP351,Pass
2025-01-19,Shift 1,DASH8565,RAV4,Digital,1024x600,298.8,15.87,34.68,Fail,Pass,5.8,v1.27.1,No,Calibrated,5935.0,212.0,59.5,EMP263,Pass
2025-01-19,Shift 1,DASH7396,Highlander,Digital,1280x720,395.6,21.22,36.83,Fail,Pass,9.94,v1.27.1,No,Not Calibrated,3785.0,155.0,44.3,EMP122,Pass
2025-01-19,Shift 2,DASH1980,Camry,Analog,800x480,392.1,48.37,13.78,Fail,Pass,5.2,v1.25.3,No,Calibrated,5877.0,35.0,47.3,EMP406,Pass
2025-01-19,Shift 2,DASH9690,Tacoma,Analog,800x480,352.8,23.0,20.44,Pass,Pass,6.93,v1.24.7,No,Calibrated,5680.0,208.0,97.1,EMP393,Pass
2025-01-19,Shift 2,DASH4301,Tacoma,Analog,800x480,366.6,46.49,32.18,Pass,Pass,6.38,v1.26.0,No,Not Calibrated,3419.0,119.0,1.4,EMP958,Pass
2025-01-20,Shift 1,DASH4735,Camry,Digital,1280x720,461.6,13.4,35.93,Pass,Fail,3.47,v1.25.3,Yes,Not Calibrated,2996.0,124.0,70.4,EMP895,Pass
2025-01-20,Shift 1,DASH2126,RAV4,Hybrid,1280x720,344.2,13.89,22.19,Fail,Pass,7.45,v1.27.1,Yes,Calibrated,4490.0,216.0,68.4,EMP116,Pass
2025-01-20,Shift 1,DASH9663,Camry,Digital,1280x720,400.5,42.7,21.36,Pass,Pass,4.51,v1.25.3,Yes,Calibrated,3253.0,182.0,74.9,EMP821,Pass
2025-01-20,Shift 2,DASH3349,Camry,Hybrid,1280x720,485.2,12.7,16.55,Fail,Fail,8.33,v1.27.1,No,Calibrated,6438.0,212.0,62.3,EMP277,Pass
2025-01-20,Shift 2,DASH5520,Camry,Digital,1024x600,400.8,33.91,26.53,Pass,Fail,6.03,v1.27.1,No,Not Calibrated,1243.0,15.0,43.6,EMP509,Pass
2025-01-20,Shift 2,DASH1579,Corolla,Analog,1024x600,389.0,10.65,14.36,Fail,Pass,8.62,v1.26.0,No,Calibrated,6799.0,80.0,75.8,EMP642,Pass
2025-01-21,Shift 1,DASH1593,Tacoma,Analog,1280x720,226.4,49.56,28.59,Pass,Pass,8.18,v1.25.3,No,Calibrated,5312.0,50.0,90.5,EMP362,Pass
2025-01-21,Shift 1,DASH9115,Tacoma,Analog,800x480,453.5,19.05,32.0,Pass,Fail,5.19,v1.27.1,No,Calibrated,5029.0,197.0,16.7,EMP916,Pass
2025-01-21,Shift 1,DASH3212,RAV4,Hybrid,1280x720,302.8,10.81,34.56,Pass,Fail,4.26,v1.27.1,No,Not Calibrated,703.0,207.0,95.8,EMP872,Pass
2025-01-21,Shift 2,DASH7028,Camry,Analog,800x480,208.7,46.55,33.22,Fail,Pass,7.62,v1.26.0,No,Calibrated,755.0,155.0,15.7,EMP915,Pass
2025-01-21,Shift 2,DASH9663,Camry,Digital,1280x720,400.5,42.7,21.36,Pass,Pass,4.51,v1.25.3,Yes,Calibrated,3253.0,182.0,74.9,EMP821,Pass
2025-01-21,Shift 2,DASH1389,Camry,Analog,800x480,396.3,26.56,36.75,Fail,Pass,7.51,v1.27.1,No,Not Calibrated,1179.0,107.0,91.5,EMP516,Pass
2025-01-22,Shift 1,DASH8986,Tacoma,Digital,1024x600,383.3,16.25,39.54,Pass,Pass,9.84,v1.25.3,No,Calibrated,1072.0,70.0,64.3,EMP782,Pass
2025-01-22,Shift 1,DASH8020,RAV4,Hybrid,1024x600,232.8,40.67,13.01,Pass,Fail,4.54,v1.25.3,Yes,Not Calibrated,4642.0,63.0,15.9,EMP398,Pass
2025-01-22,Shift 1,DASH7624,Highlander,Analog,800x480,236.3,25.98,21.43,Fail,Fail,6.16,v1.25.3,No,Calibrated,3746.0,68.0,27.5,EMP895,Pass
2025-01-22,Shift 2,DASH8028,RAV4,Digital,1280x720,430.7,31.59,35.05,Fail,Pass,9.74,v1.27.1,Yes,Calibrated,6800.0,9.0,24.4,EMP720,Pass
2025-01-22,Shift 2,DASH2327,Camry,Digital,1280x720,461.7,41.91,29.69,Pass,Fail,4.79,v1.25.3,No,Calibrated,1311.0,158.0,5.5,EMP709,Pass
2025-01-22,Shift 2,DASH3741,Yaris,Hybrid,1280x720,499.0,38.13,39.58,Fail,Fail,6.66,v1.27.1,No,Calibrated,735.0,214.0,22.5,EMP675,Pass
2025-01-23,Shift 1,DASH6357,Camry,Analog,1280x720,283.6,38.41,33.6,Fail,Pass,5.56,v1.24.7,Yes,Calibrated,1328.0,124.0,20.9,EMP692,Pass
2025-01-23,Shift 1,DASH7028,Camry,Analog,800x480,208.7,46.55,33.22,Fail,Pass,7.62,v1.26.0,No,Calibrated,755.0,155.0,15.7,EMP915,Pass
2025-01-23,Shift 1,DASH3806,Tacoma,Digital,1024x600,337.6,49.92,24.56,Fail,Fail,4.46,v1.25.3,Yes,Calibrated,3159.0,161.0,11.7,EMP156,Pass
2025-01-23,Shift 2,DASH2125,Tacoma,Hybrid,1280x720,338.1,20.54,25.04,Pass,Fail,4.85,v1.24.7,No,Not Calibrated,6415.0,126.0,99.2,EMP542,Pass
2025-01-23,Shift 2,DASH4235,Camry,Hybrid,1024x600,493.3,10.33,36.05,Fail,Fail,6.75,v1.25.3,Yes,Not Calibrated,2386.0,84.0,13.2,EMP799,Pass
2025-01-23,Shift 2,DASH7120,Corolla,Digital,1280x720,457.3,34.72,28.75,Pass,Fail,7.73,v1.25.3,No,Not Calibrated,6597.0,149.0,63.5,EMP664,Pass
2025-01-24,Shift 1,DASH4167,Camry,Digital,1280x720,242.4,38.07,36.56,Pass,Pass,2.95,v1.24.7,Yes,Not Calibrated,1301.0,95.0,64.7,EMP462,Pass
2025-01-24,Shift 1,DASH6293,Yaris,Hybrid,1024x600,298.5,33.1,37.73,Fail,Pass,3.35,v1.26.0,Yes,Calibrated,3230.0,50.0,79.7,EMP657,Pass
2025-01-24,Shift 1,DASH9287,Corolla,Hybrid,1024x600,258.3,30.04,11.02,Fail,Pass,7.32,v1.26.0,Yes,Calibrated,2947.0,69.0,44.7,EMP492,Pass
